model,barcode,power,temperature,boundaryPowerMax,boundaryPowerMin,compressorModel,doza,label
514,514100451749685710514,"71.5,69,73,75.5,80,79,80,79.5",15.7,70.24,85.93,MM090Y,1,1
514,514100451749685690514,"71,75,77.5,78.5,80,80.5,79",15.5,69.98,85.66,MM090Y,1,1
514,514100451749685640514,"70,72,74,75.5,76.5,79,78,78.5,80",15.7,70.24,85.93,MM090Y,1,1
514,514100451749685600514,"70,73.5,74.5,77.5,78.5,79.5,79,78.5",15.6,70.11,85.79,MM090Y,1,1
514,514100451749685560514,"68.5,72.5,74.5,75.5,77,77.5,78,79,79.5",15.6,70.11,85.79,MM090Y,1,1
514,514100451749685550514,"68.5,73,77,76.5,78,79,78.5",15.6,70.11,85.79,MM090Y,1,1
514,514100451749685500514,"68,71,72.5,76,78,78.5,79,78.5,79",15.7,70.24,85.93,MM090Y,1,1
514,514100451749685490514,"70,74,78.5,78,78.5,78,79.5,80.5",15.7,70.24,85.93,MM090Y,1,1
514,514100451749685480514,"70,74,77.5,78,80,80.5",15.7,70.24,85.93,MM090Y,1,1
514,514100451749685460514,"67,72,75.5,76.5,77.5,78,80.5,80",15.7,70.24,85.93,MM090Y,1,1
514,514100451749685450514,"67,70.5,74,77,77.5,78.5,79,78.5,80",15.7,70.24,85.93,MM090Y,1,1
514,514100451749685400514,"69,74,76,76.5,77.5,77,79,78",15.7,70.24,85.93,MM090Y,1,1
514,514100451749685390514,"69,75,77.5,78.5,79,80",15.8,70.37,86.06,MM090Y,1,1
514,514100451749685380514,"69.5,74,76.5,77.5,78.5,79,80.5,79.5,81",15.7,70.24,85.93,MM090Y,1,1
514,514100451749685360514,"70,73,73.5,76,76.5,77,76.5,77.5,77",15.8,70.37,86.06,MM090Y,1,1
514,514100451749685350514,"68.5,74,75.5,76.5,74,77.5",16.1,70.76,86.45,MM090Y,1,1
514,514100451749685330514,"67.5,69.5,73,73.5,75,76,76.5,78,77,78,79",15.8,70.37,86.06,MM090Y,1,1
514,514100451749685290514,"67,71.5,73,77,76.5,77.5,78.5,79",15.9,70.5,86.19,MM090Y,1,1
514,514100451749685250514,"71,76,77,79,79.5,80.5,81",16.0,70.63,86.32,MM090Y,1,1
514,514100451749685210514,"71,73,78.5,80,79,80.5",16.0,70.63,86.32,MM090Y,1,1
514,514100451749685180514,"68,71.5,72.5,75,74.5,75.5,77",16.1,70.76,86.45,MM090Y,1,1
514,514100451749685130514,"74.5,80,79.5,80.5,81,82.5,83.5,82.5",16.2,70.89,86.58,MM090Y,1,1
514,514100451749685100514,"72.5,76,77.5,79,79.5,80.5,81,81.5",16.3,71.02,86.71,MM090Y,1,1
514,514100451749685090514,"74.5,79.5,80.5,81.5,82,83.5,82.5",16.3,71.02,86.71,MM090Y,1,1
514,514100451749685070514,"66,74.5,74,74.5,75.5,78.5,77.5,78.5,77",15.1,69.46,85.14,MM090Y,1,1
514,514100451749684960514,"69.5,70,71,72.5,76,75.5,76.5,75",15.1,69.46,85.14,MM090Y,1,1
514,514100451749684920514,"68.5,73,75,77.5,78,79,76,77.5",15.1,69.46,85.14,MM090Y,1,1
514,514100451749684910514,"68.5,71,73.5,75,75.5,76.5,75.5,76.5,75",15.1,69.46,85.14,MM090Y,1,1
514,514100451749684890514,"71,72.5,74.5,75.5,75,75.5,76,77",15.2,69.59,85.27,MM090Y,1,1
514,514100451749684860514,"69,70.5,72.5,74,76,78,77,77.5,78,76.5",15.2,69.59,85.27,MM090Y,1,1
514,514100451749684840514,"70.5,73.5,76.5,77.5,79,80.5,80",15.2,69.59,85.27,MM090Y,1,1
514,514100451749684820514,"70,74.5,76,76.5,77,79,78.5",15.5,69.98,85.66,MM090Y,1,1
514,514100451749684810514,"69.5,70.5,74.5,76.5,80,79.5,80.5,79",15.4,69.85,85.53,MM090Y,1,1
514,514100451749684780514,"68,72,74.5,74,76.5,76,78.5,77.5",15.4,69.85,85.53,MM090Y,1,1
514,514100451749684770514,"70,76,76.5,78.5,78,80,78.5",15.3,69.72,85.4,MM090Y,1,1
514,514100451749684730514,"69.5,70.5,74.5,75,76.5,76,78.5,76.5,77.5",15.3,69.72,85.4,MM090Y,1,1
514,514100451749684700514,"67.5,70.5,75,76.5,76,77,77.5",15.3,69.72,85.4,MM090Y,1,1
514,514100451749684690514,"69,71.5,74.5,75,75.5,77,75.5",15.3,69.72,85.4,MM090Y,1,1
514,514100451749684680514,"69.5,74,76,75.5,76.5,77.5,77",15.3,69.72,85.4,MM090Y,1,1
514,514100451749684670514,"67,71,73.5,76,75.5,76,75",15.2,69.59,85.27,MM090Y,1,1
514,514100451749684660514,"68,71.5,74.5,75.5,76.5,78.5,77.5",15.3,69.72,85.4,MM090Y,1,1
514,514100451749684650514,"70.5,73,74,75,77.5,76",15.3,69.72,85.4,MM090Y,1,1
514,514100451749684640514,"70.5,73.5,74,77,76.5,77,78.5,77,79",15.3,69.72,85.4,MM090Y,1,1
514,514100451749684620514,"69.5,74,72,77,77.5,78,78.5,78",15.2,69.59,85.27,MM090Y,1,1
514,514100451749684610514,"70.5,75.5,76.5,78.5,79.5,81.5,81,80.5,81,82",15.3,69.72,85.4,MM090Y,1,1
514,514100451749684580514,"73.5,75.5,76.5,78,79.5,80.5",15.3,69.72,85.4,MM090Y,1,1
514,514100451749684570514,"73,75.5,78,79.5,80,79.5",15.3,69.72,85.4,MM090Y,1,1
514,514100451749684550514,"67.5,72.5,76.5,78,79,81.5,81,80.5",15.3,69.72,85.4,MM090Y,1,1
514,514100451749684540514,"69,73.5,77.5,79,78.5,79.5,80",15.3,69.72,85.4,MM090Y,1,1
514,514100451749684520514,"68.5,71,74,73.5,77,79,79.5,80",15.3,69.72,85.4,MM090Y,1,1
514,514100451749684480514,"71.5,75,76.5,79,78,76.5,77,78,78.5",15.3,69.72,85.4,MM090Y,1,1
514,514100451749684430514,"74,77,78.5,79,78,79,80.5,79.5",15.3,69.72,85.4,MM090Y,1,1
514,514100451749684380514,"69.5,72.5,77.5,78,78.5,79,80.5,79.5,81,81.5",15.3,69.72,85.4,MM090Y,1,1
514,514100451749684370514,"72,73.5,77,79,80.5,80,81,82,83",15.3,69.72,85.4,MM090Y,1,1
514,514100451749684300514,"70.5,75,78,79.5,80,79.5,80",15.4,69.85,85.53,MM090Y,1,1
514,514100451749684280514,"71.5,73.5,75,76,77,77.5,78",15.4,69.85,85.53,MM090Y,1,1
514,514100451749684220514,"70.5,74.5,77,79.5,80.5,81.5,82.5,81.5",15.6,70.11,85.79,MM090Y,1,1
514,514100451749684190514,"67.5,72,75.5,77,78,79.5,79,80.5,78",15.7,70.24,85.93,MM090Y,1,1
514,514100451749516600514,"68,71.5,73.5,75.5,78,77.5,78,77",17.7,72.84,88.54,MM090Y,1,1
514,514100451749516590514,"73,74,79,80,82,80.5,83,82",17.8,72.97,88.68,MM090Y,1,1
514,514100451749516570514,"73,77.5,78.5,81,80,82.5,81.5",17.4,72.45,88.15,MM090Y,1,1
514,514100451749516560514,"74,78,79,80.5,79.5,82,81.5,82.5",17.4,72.45,88.15,MM090Y,1,1
514,514100451749516550514,"73,77,78.5,80.5,81.5,81,83,81",17.4,72.45,88.15,MM090Y,1,1
514,514100451749516530514,"70.5,74,76.5,77,78,77,78.5,79.5,80",17.0,71.93,87.63,MM090Y,1,1
514,514100451749516520514,"72.5,76.5,79.5,80.5,81,81.5,81,82.5",18.2,73.49,89.2,MM090Y,1,1
514,514100451749516510514,"65.5,68,70,72,73.5,73,74.5,74",16.9,71.8,87.5,MM090Y,1,1
514,514100451749516490514,"71.5,73.5,77,78,78.5,80,81,78.5",17.1,72.06,87.76,MM090Y,1,1
514,514100451749516470514,"70.5,73.5,75.5,76.5,77.5,79.5,78.5",17.1,72.06,87.76,MM090Y,1,1
514,514100451749516460514,"66.5,68,72,74,75,76.5,76",16.9,71.8,87.5,MM090Y,1,1
514,514100451749516450514,"73.5,75.5,76,79.5,80.5,81,82.5,81",17.7,72.84,88.54,MM090Y,1,1
514,514100451749516440514,"73.5,78.5,80.5,82,82.5,83.5,83,83.5",17.4,72.45,88.15,MM090Y,1,1
514,514100451749516430514,"74,77.5,82,83,84.5,83,84,83.5,84,84.5",17.4,72.45,88.15,MM090Y,1,1
514,514100451749516420514,"77,79.5,82,83.5,83,83.5,85,84.5",17.3,72.32,88.02,MM090Y,1,1
514,514100451749516400514,"72.5,75.5,76.5,79,80,81,80",17.4,72.45,88.15,MM090Y,1,1
514,514100451749685620514,"70.5,75,76.5,78,79,79.5,80,79.5",15.6,70.11,85.79,MM090Y,1,1
514,514100451749516390514,"69,74.5,80.5,79.5,79,79.5,81,80",17.4,72.45,88.15,MM090Y,1,1
514,514100451749516380514,"69,72,75.5,76,78,77.5,80,79.5",17.1,72.06,87.76,MM090Y,1,1
514,514100451749516320514,"70.5,75.5,76.5,79,80,83.5,81.5",17.4,72.45,88.15,MM090Y,1,1
514,514100451749516310514,"73,72.5,75.5,76.5,77,78,79.5,80,79.5,80",17.2,72.19,87.89,MM090Y,1,1
514,514100451749516270514,"69,73.5,74.5,77.5,77,78.5,77",17.1,72.06,87.76,MM090Y,1,1
514,514100451749516260514,"69.5,73.5,77.5,78,79.5,81,80",17.3,72.32,88.02,MM090Y,1,1
514,514100451749516250514,"69,75,78.5,80,81,81.5,80",18.1,73.36,89.07,MM090Y,1,1
514,514100451749516240514,"74.5,77.5,80,80.5,81,82.5,83,81,82.5",18.2,73.49,89.2,MM090Y,1,1
514,514100451749516230514,"71,75.5,78.5,80,79.5,80.5,81",17.3,72.32,88.02,MM090Y,1,1
514,514100451749516160514,"70.5,73.5,78,79,78,79.5,79,78.5",17.2,72.19,87.89,MM090Y,1,1
514,514100451749685190514,"69.5,73.5,76,77,76,77.5,78.5,78,77,77.5,78.5",16.2,70.89,86.58,MM090Y,1,1
514,514100451749516130514,"69,72.5,76,77.5,80,79,80",17.5,72.58,88.28,MM090Y,1,1
514,514100451749516070514,"74,76.5,81,81.5,83,83.5,81.5",17.4,72.45,88.15,MM090Y,1,1
514,514100451749516040514,"74.5,79,80,82,81.5,82,83.5,82",17.4,72.45,88.15,MM090Y,1,1
514,514100451749516010514,"75,78.5,81,84,83.5,84,86.5,84.5",17.4,72.45,88.15,MM090Y,1,1
514,514100451749515950514,"71,74,76.5,78,81,80.5,81.5,81",17.5,72.58,88.28,MM090Y,1,1
514,514100451749515940514,"71.5,75,79,80,81.5,80.5",17.4,72.45,88.15,MM090Y,1,1
514,514100451749684270514,"67,70,74,75,76,77.5,77,77.5,78",15.4,69.85,85.53,MM090Y,1,1
514,514100451749515930514,"73,74.5,78,79,81,81.5,83,82.5",17.4,72.45,88.15,MM090Y,1,1
514,514100451749515900514,"69.5,73,76.5,79.5,81.5,82.5,81",17.6,72.71,88.41,MM090Y,1,1
514,514100451749515880514,"74.5,78,80,81.5,82,83,81.5",17.7,72.84,88.54,MM090Y,1,1
514,514100451749515830514,"71.5,76,78.5,80,79.5,83.5,81.5",17.6,72.71,88.41,MM090Y,1,1
514,514100451749515820514,"71,73.5,76,77.5,77,77.5,79.5,80",18.2,73.49,89.2,MM090Y,1,1
514,514100451749515800514,"69,73,75.5,77.5,77,78,79.5,78.5",18.0,73.23,88.94,MM090Y,1,1
514,514100451749515680514,"68.5,74,77,78,79.5,81,81.5",18.2,73.49,89.2,MM090Y,1,1
514,514100451749515670514,"71.5,74.5,75,77.5,78.5,79,78.5,79.5",18.1,73.36,89.07,MM090Y,1,1
514,514100451749515660514,"74,74.5,76.5,80,78,80,80.5,82",18.1,73.36,89.07,MM090Y,1,1
514,514100451749515630514,"71,77,77.5,79.5,81,80.5,81",18.1,73.36,89.07,MM090Y,1,1
514,514100451749515600514,"72,76.5,79,78,80.5,80,80.5",18.0,73.23,88.94,MM090Y,1,1
514,514100451749684710514,"67,73.5,76.5,76,77",15.3,69.72,85.4,MM090Y,1,1
514,514100451749516090514,"71,75,78,79.5,82.5,81,81.5,83",17.4,72.45,88.15,MM090Y,1,1
514,514100451749515560514,"71,73,76,78.5,79,78.5,80,79,81.5",17.7,72.84,88.54,MM090Y,1,1
514,514100451749515550514,"76.5,78.5,82.5,82,85,84.5,86,85.5",18.3,73.62,89.33,MM090Y,1,1
514,514100451749515510514,"66,70,73.5,75.5,78,75.5,76,78.5,78",17.7,72.84,88.54,MM090Y,1,1
514,514100451749515490514,"73.5,76.5,81,82,83,82.5,85,82.5",18.0,73.23,88.94,MM090Y,1,1
514,514100451749515460514,"71,75.5,78,79,79.5,82,81.5,79",17.9,73.1,88.81,MM090Y,1,1
514,514100451749515450514,"74.5,77,80,82,81.5,84,83.5",17.9,73.1,88.81,MM090Y,1,1
