model,barcode,power,temperature,boundaryPowerMax,boundaryPowerMin,compressorModel,doza,label
553,553100595149810530553,"70,75.5,78,79,80,81.5,83.5,85,84.5",21.4,77.61,93.47,GMCC SZ80Е1H,34,1
553,553100595149810520553,"75,73,73.5,77.5,79,81.5,82,83.5,85",21.4,77.61,93.47,GMCC SZ80Е1H,34,1
553,553100595149810510553,"71,74,74.5,75.5,77,77.5,79.5,81.5,83,83.5",21.4,77.61,93.47,GMCC SZ80Е1H,34,1
553,553100595149810500553,"76.5,77.5,78,79.5,80,82.5,84,84.5",21.3,77.43,93.29,GMCC SZ80Е1H,34,1
553,553100595149810470553,"74,74.5,76.5,78.5,80,81.5,83,83.5,85.5,86,86.5,87",21.4,77.61,93.47,GMCC SZ80Е1H,34,1
553,553100595149810440553,"79,72,74.5,74,81,81.5,83.5,84,85.5,85",21.4,77.61,93.47,GMCC SZ80Е1H,34,1
553,553100595149810400553,"75,76.5,79.5,82,82.5,83,84,85.5",21.4,77.61,93.47,GMCC SZ80Е1H,34,1
553,553100595149810390553,"73,73.5,75.5,78,80.5,82.5,83,85",21.4,77.61,93.47,GMCC SZ80Е1H,34,1
553,553100595149810380553,"72.5,76.5,78,79,80.5,82,82.5,83.5",21.4,77.61,93.47,GMCC SZ80Е1H,34,1
553,553100595149810370553,"74,76.5,75.5,77.5,79.5,80,81,82,82.5",21.5,77.79,93.65,GMCC SZ80Е1H,34,1
553,553100595149810360553,"71,73.5,73,75,76.5,77,79.5,80.5,81,81.5",21.4,77.61,93.47,GMCC SZ80Е1H,34,1
553,553100595149810330553,"79,79.5,82,84,85.5,86,87.5,89,90",21.4,77.61,93.47,GMCC SZ80Е1H,34,1
553,553100595149810320553,"68.5,74,75,74.5,75.5,76.5,78,80",21.4,77.61,93.47,GMCC SZ80Е1H,34,1
553,553100595149810300553,"71.5,72.5,74.5,75,77,78,80,80.5,80",21.4,77.61,93.47,GMCC SZ80Е1H,34,1
553,553100595149810290553,"75,76.5,77,78.5,80,81,82.5,83,83.5",21.4,77.61,93.47,GMCC SZ80Е1H,34,1
553,553100595149810280553,"70.5,75.5,74.5,75,76.5,77.5,79.5,80,81",21.4,77.61,93.47,GMCC SZ80Е1H,34,1
553,553100595149810270553,"76.5,78,78.5,80,83,83.5,84.5,85.5",21.4,77.61,93.47,GMCC SZ80Е1H,34,1
553,553100595149810260553,"81.5,75,76,76.5,77.5,80,80.5,82,82.5,84,85,86.5",21.4,77.61,93.47,GMCC SZ80Е1H,34,1
553,553100595149810250553,"76,78,77.5,80,83.5,85,87,86.5,88.5",21.7,78.15,94.01,GMCC SZ80Е1H,34,1
553,553100595149810240553,"74,75,76.5,78,82,84.5,85,86,87",21.4,77.61,93.47,GMCC SZ80Е1H,34,1
553,553100595149810220553,"72.5,74,76.5,78,80.5,81.5,82,84",21.4,77.61,93.47,GMCC SZ80Е1H,34,1
553,553100595149810200553,"74,75.5,77.5,81,82.5,83.5,85,85.5,86",21.4,77.61,93.47,GMCC SZ80Е1H,34,1
553,553100595149810190553,"71,74.5,76,77,78,78.5,80.5,81,81.5",21.4,77.61,93.47,GMCC SZ80Е1H,34,1
553,553100595149810170553,"78,74,73,74.5,77.5,78,80,79.5,80.5,81,82",21.4,77.61,93.47,GMCC SZ80Е1H,34,1
553,553100595149810150553,"74,75.5,75,77.5,78.5,80,81,81.5,82,82.5",21.4,77.61,93.47,GMCC SZ80Е1H,34,1
553,553100595149810140553,"73,74,75,77,78,80,82.5,83.5,82",21.5,77.79,93.65,GMCC SZ80Е1H,34,1
553,553100595149810130553,"74.5,74,74.5,75.5,78.5,81,83,84.5,85",21.5,77.79,93.65,GMCC SZ80Е1H,34,1
553,553100595149810120553,"71,73.5,71,76.5,79,81,83,84.5",21.4,77.61,93.47,GMCC SZ80Е1H,34,1
553,553100595149810110553,"75,76,82.5,84,86.5,88,89",21.5,77.79,93.65,GMCC SZ80Е1H,34,1
553,553100595149810090553,"70.5,75,76.5,79,80.5,81.5,82.5,83,84",21.5,77.79,93.65,GMCC SZ80Е1H,34,1
553,553100595149810080553,"77,78,79.5,81.5,83,84,84.5,86,87,88",21.5,77.79,93.65,GMCC SZ80Е1H,34,1
553,553100595149810070553,"72.5,77,76,76.5,77,80,81,81.5",21.5,77.79,93.65,GMCC SZ80Е1H,34,1
553,553100595149810050553,"73.5,76,78.5,79.5,81.5,82.5",21.5,77.79,93.65,GMCC SZ80Е1H,34,1
553,553100595149810040553,"75.5,76.5,73.5,77,79,80,81.5,82.5,84",21.5,77.79,93.65,GMCC SZ80Е1H,34,1
553,553100595149810030553,"73.5,75.5,76,77,78.5,79.5,80,80.5,83.5,84.5,84",21.5,77.79,93.65,GMCC SZ80Е1H,34,1
553,553100595149810020553,"75.5,74.5,76,77.5,80,80.5,82,82.5,84,83.5",21.5,77.79,93.65,GMCC SZ80Е1H,34,1
553,553100595149809990553,"74.5,76.5,78.5,81.5,85,87,86.5",21.6,77.97,93.83,GMCC SZ80Е1H,34,1
553,553100595149809960553,"74,75,77,78.5,80,81,82,82.5,83.5",21.6,77.97,93.83,GMCC SZ80Е1H,34,1
553,553100595149809920553,"75,74.5,74,74.5,76.5,77.5,80.5,81.5,82.5,83.5",21.9,78.52,94.37,GMCC SZ80Е1H,34,1
553,553100595149809910553,"74,75.5,77.5,78.5,81,80.5",21.7,78.15,94.01,GMCC SZ80Е1H,34,1
553,553100595149809900553,"76,77.5,78,77.5,79,80,82,83,84",21.8,78.34,94.19,GMCC SZ80Е1H,34,1
553,553100595149809870553,"72.5,76,77,79.5,82,83.5,85,84.5",21.8,78.34,94.19,GMCC SZ80Е1H,34,1
553,553100595149809850553,"74,78.5,80,81.5,82.5,84,85,84.5,86,85.5",21.8,78.34,94.19,GMCC SZ80Е1H,34,1
553,553100595149809830553,"72.5,78,77.5,78,79.5,80,82.5,81.5",21.8,78.34,94.19,GMCC SZ80Е1H,34,1
553,553100595149809820553,"71,75,74.5,77.5,79.5,80.5,82,83.5",22.4,79.42,95.28,GMCC SZ80Е1H,34,1
553,553100595149809810553,"75,75.5,77,78.5,79.5,80.5,82.5,83.5,84,85.5",21.8,78.34,94.19,GMCC SZ80Е1H,34,1
553,553100595149809800553,"73.5,75,74.5,75,75.5,77.5,79.5,80,81.5,83.5,84",21.9,78.52,94.37,GMCC SZ80Е1H,34,1
553,553100595149809690553,"77,80.5,82,83.5,84,85.5,86.5,88,89.5",22.4,79.42,95.28,GMCC SZ80Е1H,34,1
553,553100595149809680553,"80,81,81.5,84,85.5,87,89.5,88.5",22.6,79.79,95.64,GMCC SZ80Е1H,34,1
553,553100595149809670553,"75,76,78,80.5,82.5,84.5,88,87,87.5,88.5",22.4,79.42,95.28,GMCC SZ80Е1H,34,1
553,553100595149809660553,"77,81,84,85.5,86.5,87,87.5,89,90",22.4,79.42,95.28,GMCC SZ80Е1H,34,1
553,553100595149809640553,"75.5,79,80.5,82.5,84,85,86.5,88",22.4,79.42,95.28,GMCC SZ80Е1H,34,1
553,553100595149809630553,"75.5,78,78.5,80,80.5,83,83.5,85.5,85,87",22.4,79.42,95.28,GMCC SZ80Е1H,34,1
553,553100595149809610553,"75.5,81,82,83,84.5,86,86.5,87,88",22.4,79.42,95.28,GMCC SZ80Е1H,34,1
553,553100595149809600553,"70.5,78,79.5,80,83.5,85,85.5,87,87.5,87",22.9,80.33,96.19,GMCC SZ80Е1H,34,1
553,553100595149809590553,"76,77.5,79.5,80.5,81.5,84,85,86,86.5,88,87.5",22.4,79.42,95.28,GMCC SZ80Е1H,34,1
553,553100595149809580553,"75,77,78,80,83.5,84.5,85.5,86",22.4,79.42,95.28,GMCC SZ80Е1H,34,1
553,553100595149809520553,"78.5,80,81,83,85,87,85",22.4,79.42,95.28,GMCC SZ80Е1H,34,1
553,553100595149809500553,"77,78,79,82,84,85.5,88,89,87.5",22.9,80.33,96.19,GMCC SZ80Е1H,34,1
553,553100595149809480553,"76.5,78,80.5,81,83,85,86.5,87.5",23.1,80.69,96.55,GMCC SZ80Е1H,34,1
553,553100595149809470553,"78,80,77.5,78.5,80,81.5,82,84,85.5,86.5,87",23.0,80.51,96.37,GMCC SZ80Е1H,34,1
553,553100595149809460553,"74,77,78,81,83.5,85,86.5,88,89",22.7,79.97,95.83,GMCC SZ80Е1H,34,1
553,553100595149809450553,"77,79,79.5,80.5,83.5,84,85,86,88,88.5",22.5,79.61,95.46,GMCC SZ80Е1H,34,1
553,553100595149809440553,"72,75,76.5,77,78.5,79.5,82.5,83.5,84.5",22.5,79.61,95.46,GMCC SZ80Е1H,34,1
553,553100595149809430553,"76,78,77,79.5,80,83,82.5,83,85",22.6,79.79,95.64,GMCC SZ80Е1H,34,1
553,553100595149809420553,"69.5,75,76,76.5,79.5,80.5,82.5,83.5,84,85.5",22.6,79.79,95.64,GMCC SZ80Е1H,34,1
553,553100595149809410553,"74,73.5,77.5,78,79,80.5,82,84",23.0,80.51,96.37,GMCC SZ80Е1H,34,1
553,553100595149809390553,"77.5,84,85.5,87,90,90.5,91.5,93",22.9,80.33,96.19,GMCC SZ80Е1H,34,1
553,553100595149809380553,"75,78.5,80.5,82,83,85,86.5,85",22.7,79.97,95.83,GMCC SZ80Е1H,34,1
553,553100595149809370553,"75.5,78.5,80,82.5,85,86.5,86,86.5,88,89.5",22.9,80.33,96.19,GMCC SZ80Е1H,34,1
553,553100595149809350553,"77.5,82.5,84,85.5,87,88,90.5,92",22.9,80.33,96.19,GMCC SZ80Е1H,34,1
553,553100595149809320553,"78,76,75.5,77,77.5,79,79.5,81,81.5,82.5,82,83.5",22.9,80.33,96.19,GMCC SZ80Е1H,34,1
553,553100595149809310553,"84,80.5,79.5,81,82,84.5,87,89",22.9,80.33,96.19,GMCC SZ80Е1H,34,1
553,553100595149809280553,"70.5,75.5,77.5,79,82.5,83,84,85",22.9,80.33,96.19,GMCC SZ80Е1H,34,1
553,553100595149809270553,"76,77,77.5,79.5,81,84,85,87.5",23.1,80.69,96.55,GMCC SZ80Е1H,34,1
553,553100595149809240553,"78,77.5,79,82.5,84,86,87",23.2,80.87,96.73,GMCC SZ80Е1H,34,1
553,553100595149809230553,"76.5,79.5,81,84,85.5,87.5,89",23.2,80.87,96.73,GMCC SZ80Е1H,34,1
553,553100595149809210553,"77,77.5,78.5,81.5,84.5,86.5,87.5",23.2,80.87,96.73,GMCC SZ80Е1H,34,1
553,553100595149809200553,"79.5,80.5,82,83.5,86.5,87.5,88.5,89",23.4,81.24,97.1,GMCC SZ80Е1H,34,1
553,553100595149809190553,"75,80.5,83.5,85.5,88,89,91",23.9,82.14,98.0,GMCC SZ80Е1H,34,1
553,553100595149809180553,"78,75.5,76,79,82,84.5,87,88,88.5",23.2,80.87,96.73,GMCC SZ80Е1H,34,1
553,553100595149809170553,"73,75.5,76.5,77.5,80,82.5,84,85.5",23.2,80.87,96.73,GMCC SZ80Е1H,34,1
553,553100595149809100553,"77.5,78.5,80.5,82.5,83,85,85.5,86,89",23.3,81.06,96.91,GMCC SZ80Е1H,34,1
553,553100595149809010553,"72,78,72.5,79.5,81,82.5,83,85.5",23.8,81.96,97.82,GMCC SZ80Е1H,34,1
553,553100595149809000553,"77.5,80,81.5,86,86.5,87,88,88.5",24.0,82.32,98.19,GMCC SZ80Е1H,34,1
553,553100595149808970553,"69.5,74.5,78.5,79.5,82.5,84,85.5",23.8,81.96,97.82,GMCC SZ80Е1H,34,1
553,553100595149808940553,"74.5,78.5,75.5,77.5,78.5,80.5,83.5,84.5,86",23.8,81.96,97.82,GMCC SZ80Е1H,34,1
553,553100595149808930553,"73.5,76.5,79,79.5,81,82,83.5,82.5,85",23.9,82.14,98.0,GMCC SZ80Е1H,34,1
553,553100595149808920553,"71,78.5,80,81,82.5,83",23.8,81.96,97.82,GMCC SZ80Е1H,34,1
553,553100595149808900553,"77,77.5,79.5,80.5,83,84,85.5,86",23.8,81.96,97.82,GMCC SZ80Е1H,34,1
553,553100595149808890553,"74,76.5,78.5,82,84,85,86",23.8,81.96,97.82,GMCC SZ80Е1H,34,1
